Computador Genérico;Computador Dell Inc. OptiPlex 7050 Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz, 8GB RAM, 238GB Disco;TI
PTR 1;Computador Dell Inc. OptiPlex 7050 Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz, 8GB RAM, 238GB Disco;Vendas 01
